,Rapid Mean,Rapid SD,Rapid Geo Mean,Rapid Median,Rapid Range,Standard Mean,Standard SD,Standard Geo Mean,Standard Median,Standard Range,Ratio (T/R),90% CI Lower,90% CI Upper,BE Assessment
Cmax_normalized,0.10205642045454547,0.027378589930976034,0.09864279040541711,0.09332499999999999,0.06-0.20,0.06915847684515194,0.037455078398888106,0.0590821567271683,0.0625,0.01-0.22,1.6695868240039597,1.5738640933252481,1.7711314304135228,Not Bioequivalent
AUC_normalized,0.33858064935064935,0.20626995308325338,0.30223111134782876,0.2685,0.16-1.08,0.30289621785173976,0.27358916403771455,0.22934925547623555,0.245,0.03-1.94,1.317776727551422,1.1994029680841862,1.447833255281929,Not Bioequivalent
tmax,0.6237765151515151,0.19785042611825412,,0.5831666666666666,0.28-0.97,1.6522648335745298,0.45619141360670823,,1.5,1.00-3.00,0.3887777777777777,0.35031847133757965,0.4201666666666665,Not Bioequivalent
